Series_Title,Runtime_of_Series,Certificate,Runtime_of_Episodes,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4,No_of_Votes
CSI: Miami,(2002–2012),NA,43 min,"Action, Crime, Drama",6.4,"The cases of the Miami-Dade, Florida police department's Crime Scene Investigations unit.",Emily Procter,Adam Rodriguez,Rex Linn,NA,53375
Dragon Ball,(1995–2003),NA,24 min,"Animation, Action, Adventure",8.5,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",Steve Olson,Stephanie Nadolny,Zoe Slusar,NA,53339
Tandav,(2021– ),18,30 min,"Drama, Thriller",4.2,"Tandav is a story that happens in the capital city of the world's largest democracy - DILLI (New Delhi), where it takes you inside the closed, chaotic doors of power and manipulation and uncover the darkest lanes of Indian politics.",Saif Ali Khan,Dimple Kapadia,Mohd. Zeeshan Ayyub,Sunil Grover,53320
Star Trek: Deep Space Nine,(1993–1999),NA,45 min,"Action, Adventure, Drama",8,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.",Rene Auberjonois,Cirroc Lofton,Alexander Siddig,NA,53284
V,(2009–2011),NA,42 min,"Drama, Sci-Fi, Thriller",6.8,"An extraterrestrial race arrives on Earth with seemingly good intentions, only to slowly reveal their true machinations the more ingrained into society they become.",Morris Chestnut,Joel Gretsch,Logan Huffman,NA,53222
Extras,(2005–2007),NA,30 min,"Comedy, Drama",8.3,"Andy Millman (Ricky Gervais) is an actor with ambition and a script. Reduced to working as an extra with a useless agent, Andy's attempts to boost his career invariably end in failure and embarrassment.",Ashley Jensen,Stephen Merchant,Shaun Williamson,NA,53177
Forever,(2014–2015),NA,43 min,"Crime, Drama, Fantasy",8.3,A 200-year-old man works in the New York City Morgue trying to find a key to unlock the curse of his immortality.,Alana De La Garza,Joel David Moore,Donnie Keshawarz,NA,53153
Full House,(1987–1995),U,22 min,"Comedy, Drama, Family",6.7,A widowed broadcaster raises his three daughters with assistance from his rock'n'roll brother-in-law and his madcap best friend.,Bob Saget,John Stamos,Dave Coulier,Candace Cameron Bure,53020
The Last Man on Earth,(2015–2018),NA,22 min,"Action, Comedy, Drama",7.3,"Almost two years after a virus wiped out most of the human race, Phil Miller only wishes for some company, but soon gets more than he bargained for when that company shows up in the form of other survivors.",January Jones,Cleopatra Coleman,Kristen Schaal,NA,52940
Nip/Tuck,(2003–2010),NA,44 min,Drama,7.6,The dark and twisted trials of two plastic surgeons.,Julian McMahon,Joely Richardson,John Hensley,NA,52929
The Morning Show,(I) (2019– ),15+,60 min,Drama,8.4,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.",Jennifer Aniston,Reese Witherspoon,Billy Crudup,Mark Duplass,52199
His Dark Materials,(2019– ),12+,60 min,"Adventure, Drama, Family",7.9,A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.,Dafne Keen,Amir Wilson,Kit Connor,Ruth Wilson,52096
Atlanta,(2016– ),NA,30 min,"Comedy, Drama, Music",8.6,"Based in Atlanta, Earn and his cousin Alfred try to make their way in the world through the rap scene. Along the way they come face to face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,NA,52064
Wayward Pines,(2015–2016),NA,60 min,"Drama, Mystery, Sci-Fi",7.4,"A Secret Service agent goes to Wayward Pines, Idaho, in search of two federal agents who have gone missing in the bucolic town. He soon learns that he may never get out of Wayward Pines alive.",Toby Jones,Shannyn Sossamon,Hope Davis,NA,52009
Manhunt,(II) (2017– ),18,60 min,"Biography, Crime, Drama",8.1,"An in-depth look at how an FBI profiler helped track down the terrorist Ted Kaczynski, the Unabomber.",Gethin Anthony,Arliss Howard,Kelly Jenrette,Cameron Britton,51652
Eastbound & Down,(2009–2013),NA,28 min,"Comedy, Drama, Sport",8.2,"Many years after he turned his back on his hometown, a burned-out major league ballplayer returns to teach Physical Education at his old middle school.",Steve Little,Katy Mixon,Elizabeth De Razzo,NA,51552
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,(2006–2012),16,24 min,"Animation, Action, Drama",8.6,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire",Johnny Yong Bosch,Yuri Lowenthal,Jun Fukuyama,Takahiro Sakurai,51028
Will & Grace,(1998–2020),NA,22 min,"Comedy, Romance",7.2,"Gay lawyer Will and straight interior designer Grace share a New York City apartment. Their best friends are gleeful and proud gay Jack and charismatic, filthy-rich, amoral socialite Karen.",Debra Messing,Megan Mullally,Sean Hayes,NA,50968
Mirzapur,(2018– ),18+,60 min,"Action, Crime, Drama",8.4,A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.,Pankaj Tripathi,Ali Fazal,Divyendu Sharma,Shweta Tripathi,50953
Shin seiki evangerion,(1995–1996),U,24 min,"Animation, Action, Drama",8.5,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,50922
ER,(1994–2009),NA,44 min,"Drama, Romance",7.7,"The lives, loves and losses of the doctors and nurses of Chicago's County General Hospital.",George Clooney,Julianna Margulies,Eriq La Salle,NA,50808
Spaced,(1999–2001),NA,25 min,"Action, Comedy",8.6,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",Simon Pegg,Julia Deakin,Nick Frost,NA,50641
M*A*S*H,(1972–1983),NA,25 min,"Comedy, Drama, War",8.4,The staff of an Army hospital in the Korean War find that laughter is the best way to deal with their situation.,Wayne Rogers,Loretta Swit,Jamie Farr,NA,50304
MythBusters,(2003– ),NA,44 min,"Documentary, Mystery, Reality-TV",8.3,A weekly documentary in which two Hollywood special effects experts attempt to debunk urban legends by directly testing them.,Jamie Hyneman,Adam Savage,Kari Byron,NA,50211
Constantine,(2014–2015),16,43 min,"Drama, Fantasy, Horror",7.5,A man struggling with his faith who is haunted by the sins of his past is suddenly thrust into the role of defending humanity from the gathering forces of darkness.,Matt Ryan,Harold Perrineau,Charles Halford,Angélica Celaya,49035
Blue Mountain State,(2010–2011),NA,22 min,"Comedy, Sport",8.3,"Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing.",Alan Ritchson,Chris Romano,Ed Marinaro,NA,48809
Nikita,(2010–2013),18,60 min,"Action, Crime, Drama",7.7,A rogue assassin returns to take down the secret organization that trained her.,Maggie Q,Shane West,Lyndsy Fonseca,Aaron Stanford,48734
NCIS: Los Angeles,(2009– ),NA,43 min,"Action, Crime, Drama",6.7,"The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks.",Daniela Ruah,Barrett Foa,Linda Hunt,NA,48733
Blackadder Goes Forth,(1989),NA,175 min,"Comedy, War",8.8,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",Tony Robinson,Stephen Fry,Hugh Laurie,NA,48590
Élite,(2018– ),18+,60 min,"Crime, Drama, Thriller",7.6,"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",Itzan Escamilla,Miguel Bernardeau,Arón Piper,Omar Ayuso,48545
The Borgias,(2011–2013),NA,50 min,"Crime, Drama, History",7.9,"In the fifteenth century, Pope Alexander VI tries to control all power in Italy with the help of his several sons, through murder, intrigue, war, and marriage alliances.",François Arnaud,Holliday Grainger,Peter Sullivan,NA,48244
Eureka,(2006–2012),NA,60 min,"Adventure, Comedy, Drama",7.9,A U.S. Marshall becomes the sheriff of a remote cozy little Northwestern town of Eureka where the best minds in the US have secretly been tucked away to build futuristic inventions for the government which often go disastrously wrong.,Salli Richardson-Whitfield,Erica Cerra,Neil Grayston,NA,48211
Cheers,(1982–1993),NA,22 min,"Comedy, Drama",7.8,"The regulars of the Boston bar ""Cheers"" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name.",Rhea Perlman,John Ratzenberger,George Wendt,NA,48175
Dragon Ball: Doragon bôru,(1986–1989),U,24 min,"Animation, Action, Adventure",8.5,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,48069
Hell on Wheels,(2011–2016),NA,42 min,"Drama, Western",8.3,"The Civil War is past, but former Confederate soldier Cullen Bohannon can't put it behind him. Fresh are the memories of the death of his wife, killed at the hands of the Union soldiers, an act that sets him on a course of revenge.",Colm Meaney,Robin McLeavy,Phil Burke,NA,47904
Almost Human,(2013–2014),NA,60 min,"Action, Crime, Drama",8,"In a not-so-distant future, a human cop and an android partner team up to protect and serve.",Michael Ealy,Minka Kelly,Mackenzie Crook,NA,47842
SGU Stargate Universe,(2009–2011),NA,43 min,"Drama, Sci-Fi",7.6,"Trapped on an Ancient spaceship billions of light-years from home, a group of soldiers and civilians struggle to survive and find their way back to Earth.",Louis Ferreira,Brian J. Smith,Elyse Levesque,NA,47617
Disenchantment,(2018– ),18+,30 min,"Animation, Action, Adventure",7.2,"Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.",Abbi Jacobson,Eric André,Nat Faxon,John DiMaggio,47139
3rd Rock from the Sun,(1996–2001),NA,60 min,"Comedy, Family, Sci-Fi",7.7,"A group of aliens are sent to Earth, disguised as a human family, to experience and report life on the third planet from the sun.",Jane Curtin,Kristen Johnston,French Stewart,NA,47111
Warehouse 13,(2009–2014),NA,43 min,"Drama, Mystery, Sci-Fi",7.6,"Pete and Myka, U.S Secret Service agents, are deployed in South Dakota's Warehouse 13 with a new assignment from an authority above and outside the government.",Joanne Kelly,Saul Rubinek,Allison Scagliotti,NA,47098
Raised by Wolves,(2020– ),NA,NA,"Drama, Fantasy, Sci-Fi",7.6,Androids are tasked with raising human children on a mysterious planet.,Travis Fimmel,Amanda Collin,Abubakar Salim,Winta McGrath,47063
Scorpion,(2014–2018),13,43 min,"Action, Crime, Drama",7.1,An eccentric genius forms an international network of super-geniuses to act as the last line of defense against the complicated threats of the modern world.,Elyes Gabel,Katharine McPhee,Eddie Kaye Thomas,Jadyn Wong,46872
Bosch,(2014– ),18,51 min,"Crime, Drama",8.4,An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,Titus Welliver,Jamie Hector,Amy Aquino,Lance Reddick,46648
Succession,(2018– ),15+,60 min,Drama,8.6,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",Sarah Snook,Jeremy Strong,Nicholas Braun,Brian Cox,46577
Enterprise,(2001–2005),NA,60 min,"Action, Adventure, Drama",7.5,"A century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation.",John Billingsley,Jolene Blalock,Dominic Keating,NA,46408
Dollhouse,(2009–2010),NA,44 min,"Drama, Mystery, Sci-Fi",7.7,"A futuristic laboratory has erased the identities of lost young people, and now imprints them with the temporary identities they need to fulfill assignments for clients.",Harry Lennix,Fran Kranz,Tahmoh Penikett,NA,46404
Only Fools and Horses....,(1981–2003),NA,95 min,Comedy,8.9,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,NA,46351
Carnival Row,(2019– ),18+,56 min,"Crime, Drama, Fantasy",7.9,"A human detective and a fairy rekindle a dangerous affair in a Victorian fantasy world, where the city's uneasy peace collapses when a string of murders reveals an unimaginable monster.",Orlando Bloom,Cara Delevingne,Simon McBurney,Tamzin Merchant,46331
Hart of Dixie,(2011–2015),NA,60 min,"Comedy, Drama, Romance",7.7,"New Yorker and new doctor Zoe Hart accepts an offer from a stranger, Dr. Harley Wilkes, to work in his medical practice in Bluebell, Alabama. She arrives to find he has died and left half the practice to her in his will.",Jaime King,Cress Williams,Wilson Bethel,NA,46330
Workaholics,(2011–2017),NA,22 min,Comedy,8.1,"A single-camera comedy featuring three friends who work together as telemarketers from 9 to 5, and live together from 5 to 9.",Adam Devine,Anders Holm,Maribeth Monroe,NA,46107
Samurai Jack,(2001–2017),NA,25 min,"Animation, Action, Adventure",8.5,A samurai sent through time fights to return home and save the world.,Mako,Kevin Michael Richardson,Jeff Bennett,NA,45953
Travelers,(2016–2018),18,45 min,"Drama, Mystery, Sci-Fi",8.1,"Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to change the path of humanity.",Eric McCormack,MacKenzie Porter,Nesta Cooper,Jared Abrahamson,45933
